conversation_id,question_id,category,question,gold_answer,generated_answer,correct,reasoning,time_seconds
0,0,temporal,When did Caroline go to the LGBTQ support group?,7 May 2023,I don't have that information,False,"The generated answer does not provide any information about when Caroline went to the LGBTQ support group, which is different from the gold answer that specifies the date.",6.12
0,1,temporal,When did Melanie paint a sunrise?,2022,I don't have that information,False,"The generated answer does not provide the requested information about when Melanie painted a sunrise. Instead, it states that the information is unavailable.",3.25
0,2,open_domain,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",I don't have that information. The conversation does not provide details about Caroline's educational goals or fields of interest.,False,"The generated answer does not provide any fields that Caroline might pursue in her education, whereas the gold answer suggests psychology and counseling certification.",4.13
0,3,single_hop,What did Caroline research?,Adoption agencies,Caroline researched adoption agencies for her goal of building a family through adoption.,True,"The generated answer states that Caroline researched adoption agencies for her goal of building a family through adoption. This matches the gold answer which simply states 'Adoption agencies', as it captures the core information that Caroline's research was about adoption agencies.",3.97
0,4,single_hop,What is Caroline's identity?,Transgender woman,Caroline identifies as transgender. This can be inferred from her involvement in a transgender poetry reading and her emphasis on staying true to herself and embracing her womanhood.,True,"The generated answer states that Caroline identifies as transgender, which matches the gold answer of 'Transgender woman'.",3.69
0,5,temporal,When did Melanie run a charity race?,The sunday before 25 May 2023,I don't have that information,False,"The generated answer does not provide any information about when Melanie ran the charity race, whereas the gold answer specifies the date.",3.13
0,6,temporal,When is Melanie planning on going camping?,June 2023,I don't have that information.,False,The generated answer does not provide any information about Melanie's camping plans and instead states that the information is unavailable.,3.06
0,7,single_hop,What is Caroline's relationship status?,Single,I don't have that information,False,"The generated answer does not provide Caroline's relationship status, which is different from the gold answer that states she is single.",3.72
0,8,temporal,When did Caroline give a speech at a school?,The week before 9 June 2023,I don't have that information,False,"The generated answer does not provide any information about when Caroline gave a speech at a school, whereas the gold answer specifies the date.",3.11
0,9,temporal,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,I don't have that information,False,"The generated answer does not provide any information about when Caroline met up with her friends, family, and mentors. It simply states that the information is unavailable.",3.36
1,0,temporal,When Jon has lost his job as a banker?,"19 January, 2023",I don't have that information,False,The generated answer does not provide the specific date mentioned in the gold answer.,2.99
1,1,temporal,When Gina has lost her job at Door Dash?,"January, 2023",I don't have that information. The context does not mention when Gina lost her job at Door Dash.,False,"The generated answer does not provide the date when Gina lost her job at Door Dash, which is requested in the question. The gold answer specifies January 2023.",2.55
1,2,multi_hop,How do Jon and Gina both like to destress?,by dancing,"Based on the conversation, Jon destresses by dancing. There is no specific mention of how Gina likes to destress.",False,"The generated answer only mentions Jon's method of destressing and does not provide information about Gina's method, which is required by the question.",4.36
1,3,single_hop,What do Jon and Gina both have in common?,They lost their jobs and decided to start their own businesses.,"Both Jon and Gina are pursuing their dreams despite facing challenges. Jon is working to establish a dance studio, while Gina runs a clothing store. They both value support from friends and seek advice and collaboration to achieve their goals. Their conversations show they encourage each other through tough times and share experiences in business and personal growth.",False,"The generated answer does not mention that Jon and Gina lost their jobs or started their own businesses, which are the key points in the gold answer.",4.37
1,4,multi_hop,Why did Jon decide to start his dance studio?,He lost his job and decided to start his own business to share his passion.,"Jon decided to start his dance studio after facing setbacks with running a business. Specifically, he needed to cover expenses while looking for investors, and he felt determined to make it work despite the challenges.",False,"The generated answer does not match the gold answer. The gold answer states that Jon started his dance studio because he lost his job and wanted to share his passion, while the generated answer suggests that Jon faced challenges with running a business and needed to find investors.",4.97
1,5,single_hop,What Jon thinks the ideal dance studio should look like?,"By the water, with natural light and Marley flooring",I don't have that information. The conversation does not provide a description of Jon's ideal dance studio appearance or design.,False,"The generated answer does not provide any information about Jon's ideal dance studio appearance or design, which is required by the question and gold answer.",3.88
1,6,temporal,When is Jon's group performing at a festival?,"February, 2023",I don't have that information.,False,The generated answer does not provide the requested information about when Jon's group is performing at the festival. It instead states that the information is unavailable.,4.25
1,7,temporal,When did Gina launch an ad campaign for her store?,"29 January, 2023",I don't have that information,False,The generated answer does not provide the specific date mentioned in the gold answer.,4.0
1,8,temporal,When was Jon in Paris?,28 January 2023,I don't have that information,False,The generated answer does not provide the specific date mentioned in the gold answer.,4.68
